"","logit intercept raw","actual"
"AK",-1.93942413338605,0.125711135133408
"AL",-2.04631887278026,0.114424867480923
"AR",-2.57016459763896,0.0710834348393689
"AZ",-2.02896569624671,0.116195096490065
"CA",-1.61048382647903,0.16652145146787
"CO",-1.82639047881526,0.138668831597275
"CT",-1.39806456739069,0.198123414999209
"DE",-1.46953844781916,0.187012777762374
"FL",-2.00412755691438,0.118770235716741
"GA",-2.15435065956743,0.103925369716661
"HI",-1.3270731264832,0.209643916541016
"IA",-2.20094656201912,0.0996655197368401
"ID",-2.15585997402723,0.103784898978011
"IL",-1.91649947074777,0.128252429560375
"IN",-1.86039606720368,0.134656893774419
"KS",-2.3626224989706,0.0860676845707724
"KY",-1.68507583576609,0.156424513823354
"LA",-1.88134638970551,0.132234300976033
"MA",-1.32438187766269,0.210090187015298
"MD",-1.72238662648545,0.151564006446269
"ME",-1.72084456171949,0.1517624107568
"MI",-1.08775394621012,0.252041460873267
"MN",-1.86510912808683,0.134108652136915
"MO",-2.19412569814752,0.100279245042176
"MS",-2.28944022432069,0.0920013012678856
"MT",-1.90817632223901,0.129185871508084
"NC",-1.84440505123426,0.136531147390665
"ND",-2.20052810529583,0.0997030751135361
"NE",-2.58604977305799,0.0700416475269988
"NH",-1.52925791767,0.178102287232741
"NJ",-1.23891960513131,0.224624100082221
"NM",-2.01185593429894,0.11796373405536
"NV",-1.67777034553185,0.157390937668205
"NY",-1.29033009835272,0.215796943492254
"OH",-1.66843646054745,0.15863275058982
"OK",-2.69599678406778,0.0632099903502572
"OR",-1.72461230186196,0.151278023499957
"PA",-1.49552548542102,0.183093830323483
"RI",-1.23891313654043,0.2246252267065
"SC",-1.94994938038404,0.124558877846086
"SD",-2.54192413607733,0.0729709060235034
"TN",-2.00666824755239,0.118504574668877
"TX",-2.17405489540461,0.102104683154909
"UT",-2.17466516179511,0.102048747933188
"VA",-2.10946537963174,0.108180234673013
"VT",-1.28733914975083,0.216303527842291
"WA",-1.60140548495779,0.167785270614617
"WI",-1.72292801279633,0.151494401435634
"WV",-2.03683364510151,0.115389543684724
"WY",-2.41611968675317,0.0819517201278868
